Var1,Var2,Var3
L1-Carlo.txt,1.52554334554334,0.000309625965730805
L1-Luca.txt,1.52587301587302,0.000430077028792279
L1-Matteo.txt,1.52625152625153,0.000292282878614708
L2-Carlo.txt,1.5898778998779,0.000230097809458744
L2-Luca.txt,1.59205128205128,0.000590645797657228
L2-Matteo.txt,1.59137973137973,0.000259164305780093
L3-Carlo.txt,1.62796092796093,0.00024649551553774
L3-Luca.txt,1.6303663003663,0.00039173152858809
L3-Matteo.txt,1.63078144078144,0.000320432349927283
L4-Carlo.txt,1.6840293040293,0.000259675676724128
L4-Luca.txt,1.68614163614164,0.000393721007801548
L4-Matteo.txt,1.68422466422466,0.000301478651659589
L5-Carlo.txt,1.72180708180708,0.000253518062600993
L5-Luca.txt,1.72211233211233,0.000326798990451296
L5-Matteo.txt,1.72142857142857,0.000282885274599835
L6-Carlo.txt,1.75086691086691,0.000189686609360062
L6-Luca.txt,1.75123321123321,0.000371068418239298
L6-Matteo.txt,1.75211233211233,0.000272550957236932
